.,654878499
",",512338739
og,278529647
i,241246524
det,143894451
som,140096415
av,138981236
til,132632350
er,131802017
en,128738991
på,118139533
å,107604303
for,104763603
-,102132395
med,95458527
at,92476813
),81865501
var,79276355
ikke,76972110
den,76207560
de,73851101
(,71760054
:,62551300
»,57870811
har,57142209
han,57137845
«,56805763
et,54954288
om,54337372
seg,47969521
Det,45927063
jeg,41753317
kan,41120252
—,41025280
hadde,39341421
fra,39123968
så,38287565
?,38237501
I,33061741
/,31234815
eller,30695916
1,30665171
vi,29941329
ved,28334079
ble,27894513
;,27308991
men,26672021
hun,26589174
"""",25819716
du,25748223
2,25267403
Jeg,22690849
Han,22019364
også,21972264
skal,21876314
vil,21734947
være,21559311
',21532561
ut,21461828
!,20947544
De,20272254
3,20240379
a,19873031
over,19656762
etter,19413252
da,18309854
kunne,18003344
meg,17724919
sa,17498761
opp,17497582
dette,17489993
Men,17211494
ham,16961440
*,16319043
noe,16317339
andre,15795048
der,15596239
to,15380701
^,15220591
må,14957249
bare,14818244
denne,14703982
inn,14344885
blir,14092188
s,13947741
mot,13914250
dem,13726416
sin,13725848
Den,13532281
alle,13340435
f,13271839
6,13127428
ville,13039033
enn,13034329
ha,13011339
noen,12821666
4,12746144
skulle,12355361
når,12351996
the,12227766
kom,12204262
man,12102977
få,12046902
5,11365085
Og,11199879
Hun,11165839
En,11107327
slik,11050667
mer,10881817
se,10754930
hans,10717605
år,10712130
mellom,10645906
m,10607318
henne,10540753
under,10538687
nå,10393219
Vi,10230040
=,10166127
bli,10044132
hvor,9871296
vært,9608008
her,9607134
deg,9299129
of,9260994
før,8962283
gikk,8811433
0,8793598
oss,8784247
igjen,8752210
mange,8713852
hva,8455233
o,8359110
fikk,8289670
•,8286578
disse,8273050
8,8260038
samme,8226674
>,8173380
Dette,8136439
første,7708156
sammen,7644579
alt,7430859
7,7414437
10,7397994
hele,7269314
ned,7210389
kommer,7169826
For,7168808
sine,7058300
gjennom,7005142
%,6861870
§,6859777
ta,6832660
gjøre,6822017
får,6803944
uten,6787732
store,6676594
n,6675218
gang,6654699
in,6625873
A,6588812
tid,6554060
and,6392540
Da,6341614
ingen,6307071
seiv,6248425
går,6230923
måtte,6210043
helt,6184324
+,6181605
siden,6180999
■,6054352
la,6041705
9,6033820
stor,6017533
e,6009445
Du,5977823
<,5954555
tilbake,5943802
r,5925510
del,5863153
nok,5841412
gå,5826677
annen,5815392
litt,5784845
sitt,5696300
],5694439
godt,5675195
blitt,5672609
si,5642310
flere,5615472
tok,5614773
dag,5588720
annet,5578361
[,5545227
mens,5482807
min,5404898
både,5312886
komme,5291454
Så,5220280
ser,5145416
På,5145301
t,5142362
S,5079163
vet,5059067
gi,4997467
12,4992684
hvis,4979077
selv,4969561
nye,4948787
Når,4920817
hennes,4893939
hos,4887839
1.,4864352
Hva,4839163
c,4835654
tre,4777083
~,4754855
\,4736921
...,4719657
