.,12456161
",",10351832
og,5449332
i,3792739
det,2878402
til,2156407
han,2036837
som,2023991
er,1844712
var,1772517
med,1581642
på,1509914
dei,1456643
—,1355008
ein,1288893
for,1245790
av,1226791
),1220308
at,1192865
ikkje,1076015
(,1058395
;,1029938
»,1002972
«,1000302
den,983492
:,961583
seg,931709
å,928776
-,850435
hadde,740474
Det,722822
!,660115
so,646831
eg,619859
ei,607171
?,566069
ho,546244
har,542334
^,530865
eit,527836
Han,509718
du,507573
a,506694
men,497271
vart,489387
Men,479246
der,472379
',466199
I,453365
så,447767
om,438859
Og,436381
etter,429403
frå,403176
kom,391585
3,383004
ut,380696
f,374572
no,366993
en,357044
um,354321
paa,347794
skal,338068
eller,337118
kan,333142
1,331708
6,325672
2,323490
de,321451
då,317604
sa,310683
*,306568
/,304084
m,302848
vera,289637
me,284969
alle,272535
Dei,272005
meg,261238
hev,261143
n,258213
vi,255786
inn,252536
ved,249084
vil,248442
fekk,247586
dette,246676
her,244211
s,241560
berre,239351
over,234882
noko,232769
hans,231909
skulde,231063
andre,228300
alt,218618
denne,212894
e,210925
gjekk,205971
enn,202579
tok,201576
Eg,200845
når,197741
kunde,197282
fram,194942
mot,194151
vel,191543
ha,191320
et,190818
att,185874
oss,183209
sin,182118
få,181265
meir,180294
"""",178023
aa,177197
upp,173653
deg,172519
mange,170523
Ho,169732
da,168902
vert,166656
mykje,161671
vilde,158833
må,158640
Den,151698
8,148448
kjem,147824
henne,147795
godt,147078
4,146332
o,144819
ikke,142762
ned,142256
d,141761
same,140361
stod,140339
under,139639
t,139185
år,138822
sjå,138705
],138568
opp,136099
g.,135109
vore,134165
såg,133322
si,131756
tid,130540
[,129845
1.,129028
nok,127799
Ein,127719
daa,127564
folk,125495
Då,122636
kvar,121462
slik,120174
sine,119415
Ja,118569
5,118475
80,117331
gamle,117193
A,116131
sitt,116025
ser,115417
desse,115273
sjølv,114935
2.,114436
gjera,113992
store,113492
=,113319
Gud,111771
åt,111676
ingen,110779
før,110249
Du,110207
heile,109165
stor,108019
pa,107210
<,105471
mest,105466
mann,105385
kor,103651
to,102961
dag,100861
>,100454
kva,100418
aldri,100164
No,99314
gjorde,98241
di,98086
So,96682
S,95288
gå,94498
veit,93867
gong,93805
la,93420
både,92637
~,91224
måtte,90346
koma,89187
jeg,89110
b,88955
Der,88364
For,88314
r,87772
kunne,86839
ja,86592
ord,86435
blir,86365
l,84797
De,84796
garden,84375
kr,84332
skulle,84053
anna,82667
ta,82467
fra,82114
går,82057
kann,81918
lite,81751
rett,81487
or,81022
får,78837
langt,78787
te,78121
millom,78086
god,77359
7,77116
fyrste,76811
|,76781
bli,76640
gjort,76475
ting,76106
3.,76069
10,75356
„,74769
heller,74598
sette,74448
03,74204
gav,73750
saman,73106
fraa,72918
yver,72892
min,72428
litt,71065
Nei,70976
all,70762
ville,70372
lenge,70201
karm,70086
honom,69565
like,69494
utan,69239
låg,69199
g,68564
sat,68291
tek,68026
Olav,67743
nokon,67614
sig,67322
va,67241
Her,66668
Vi,66375
heldt,66285
imot,65974
far,65669
gjer,65314
c,64505
Når,64476
tala,64235
9,63884
På,63676
af,63530
vår,63329
Ola,63265
Så,63148
Dette,63019
heim,62766
siste,62754
el,62745
M,62733
ligg,62681
nokre,62554
visst,62535
laut,61765
F,61671
landet,61629
mor,61488
lenger,61479
livet,61247
fyrr,60415
12,60208
in,60162
Kva,60129
lag,59869
’,59634
B,59628
tru,59324
heilt,59262
nye,59085
verta,59081
vegen,59043
soleis,58695
snart,58329
tvo,58193
att.,58073
set,57842
0,57512
sett,57317
endå,57145
svara,56987
Å,56560
alltid,56405
liv,56333
let,56311
sidan,56243
visste,56019
burt,56014
ute,55651
fleire,55545
Guds,55201
dagen,55063
Til,55039
30,54669
kje,54056
fyrst,53726
hjå,53529
land,53377
elles,53354
din,53341
likevel,53301
gode,53257
står,52998
ofte,52943
nar,52587
v.,52450
gjenom,52416
sagt,52151
veg,51861
augo,51842
Med,51772
kjende,51745
eine,51633
k,51581
4.,51304
Me,50912
bar,50799
Bom,50334
segjer,50240
J,50194
stort,49946
fær,49331
dem,49322
Jesus,48932
Lars,48813
annan,48758
Knut,48360
Hans,48176
Da,48075
deim,48035
ogso,47881
taka,47850
20,47835
med.,47796
jord,47767
mannen,47736
j,47506
kvart,46751
se,46354
Er,46052
Etter,45958
gjev,45685
større,45640
også,45522
tenkte,45508
lyt,45495
enno,45434
O,45434
mi,45425
kalla,45352
■,45334
•,45100
hennar,44600
vm,44529
bort,44495
11,44465
Per,44384
liksom,44216
saa,44169
fått,44128
norske,43937
kring,43693
høyrde,43607
deira,43607
15,43523
lett,43360
§,43295
fast,43126
være,43088
H,43073
kongen,43000
korleis,42940
slikt,42740
liten,42675
ny,42600
+,42524
Av,42517
V,42383
trur,42170
slag,41935
fann,41912
Kor,41827
reint,41814
vet,41784
nr.,41390
lang,41327
mindre,41256
kar,41242
slike,41044
døydde,41037
5.,40824
u,40703
folket,40605
inne,40407
8.,40338
mellom,40337
nå,40253
K,40167
kanskje,40125
gjeng,40118
N,40028
gjerne,39779
tre,39584
Ei,39329
son,39239
Som,39214
segja,38755
v,38674
kyrkja,38660
sjølve,38569
betre,38425
eitt,38419
\,38367
difor,38272
arbeid,38228
dagar,38224
faa,38074
seinare,38004
helst,37913
16,37874
halda,37754
bruk,37754
gamal,37687
Anders,37543
laga,37524
Nils,37479
18,37406
D,37333
par,37311
menneske,37181
kjenner,36714
mitt,36606
held,36601
14,36590
arbeidet,36471
spurde,36436
maa,36411
lian,36220
drog,36203
6.,36100
finn,35844
tida,35794
heime,35737
ikring,35463
ifrå,35352
%,35213
beste,34941
bad,34896
attende,34859
gongen,34849
seier,34743
born,34703
hus,34602
gjeva,34509
serleg,34432
naar,34389
nytta,34359
man,34242
slo,34213
fyre,34146
nytt,34087
stad,34073
Denne,33924
ham,33867
høyrer,33846
vatn,33783
E,33721
glad,33653
50,33496
13,33403
,33356
gift,33325
vorte,33319
tri,33189
sida,33074
setja,32982
tak,32941
namn,32901
ymse,32872
Eit,32792
nei,32722
kona,32688
ti,32641
hun,32619
no.,32519
rundt,32498
sit,32375
aat,32286
22,32282
rette,32258
adj,32177
y,31959
stund,31939
lange,31761
bygd,31757
Daa,31747
nådde,31570
unge,31562
Noreg,31526
Ole,31469
op,31287
Jon,31277
25,31207
budde,31189
17,31189
mål,31179
stend,31169
byen,31164
nu,31122
mig,31008
straks,30926
dykk,30737
&,30724
venta,30703
norsk,30582
presten,30574
tykte,30536
bruka,30416
fall,30361
lov,30339
h,30337
bør,30288
Oslo,30143
reiste,30119
året,30059
inkje,29965
legg,29922
kome,29711
stå,29667
små,29640
Om,29621
Um,29585
vori,29565
medan,29557
best,29536
vondt,29307
tor,29282
nær,29256
an,29239
hjarta,29171
Frå,29119
ar,29057
hjelp,28881
Jeg,28853
au,28818
vanleg,28774
mat,28498
19,28408
gjeld,28270
staden,28266
Anna,28248
P,28193
guten,28158
skogen,28153
ber,28141
Ved,28062
mine,28034
je,27974
ditt,27963
full,27949
vårt,27890
x,27842
råd,27738
gjennom,27672
kvarandre,27597
æ,27501
sume,27472
sterk,27456
Herren,27392
namnet,27388
7.,27388
grunn,27384
bare,27381
nett,27369
86,27284
fara,27280
lor,27224
hug,27209
sk,27195
høve,27192
ordet,27177
trudde,27175
Ikkje,27062
slutt,26969
hos,26933
menn,26903
blev,26841
vita,26838
høgt,26722
stader,26714
einaste,26695
skulen,26540
sant,26481
teke,26474
br,26440
havt,26388
Sjå,26375
kveld,26344
En,26309
T,26301
dæ,26295
lagt,26293
dit,26285
meinte,26267
finst,26265
40,26236
måten,26132
fl.,26096
24,25963
halde,25944
våre,25928
gang,25916
gonger,25798
C,25743
første,25708
største,25677
båe,25536
