",",4655162
.,4556321
og,2173903
i,1270978
det,1060764
han,847271
som,784494
til,764791
er,727477
),690330
;,689607
paa,669844
var,606062
med,574810
at,545669
dei,535229
(,535097
ein,480839
so,465621
—,453546
for,421183
:,400192
aa,399101
den,394989
ikkje,359687
seg,356369
av,355169
eg,353599
!,322733
"""",321379
-,312177
»,276800
«,274119
hadde,268624
',267954
du,255535
ho,241446
ei,238816
?,234426
Det,225541
men,223050
eit,217261
um,216941
der,198158
Men,197807
daa,195694
hev,187637
me,179514
Og,173204
Han,165370
no,160510
„,159756
en,158414
de,154700
vart,149147
^,145442
meg,144263
kom,143851
ut,143645
etter,143476
n,137162
I,132022
fraa,131355
skulde,128711
a,127133
vera,122991
skal,122940
sa,120960
3,118059
*,117202
upp,114048
kunde,113387
alle,110763
2,109916
eller,108720
vil,108278
/,106027
hans,102986
vilde,102053
f,100928
her,93155
Eg,92280
dette,91549
faa,91442
alt,91295
m,91096
berre,90522
o,90149
1,89381
om,87768
deg,86754
e,86586
inn,85513
ved,84959
af,84837
fekk,84742
,83691
Dei,83347
gjekk,81206
har,81181
denne,80994
©,80272
s,79643
sin,79317
andre,78637
honom,78385
=,77248
saa,76873
fram,74943
tok,73867
maa,73659
vel,73102
Daa,71505
et,71498
noko,70629
6,70214
meir,68876
aat,68424
att,66437
henne,66295
naar,66229
vert,65740
t,65603
mange,65345
kan,64903
>,64417
ha,61470
oss,60931
So,60503
godt,60314
saag,59071
enn,57896
Ho,57677
kjem,57595
ned,57272
di,56486
mot,56354
§,56331
ikke,55459
da,54872
gjera,54562
bet,53666
yver,53565
stod,53342
mykje,52509
vi,52241
si,52200
deim,52015
Gud,51443
Ja,50879
karm,50085
sine,49844
kann,49374
Den,49345
sig,48724
gamle,48684
Du,47884
same,46351
under,45979
jeg,45341
store,45233
l,45067
r,44963
fom,44871
kvar,44768
ingen,44740
nok,44704
folk,44341
Aa,44263
fyrr,44074
aldri,43900
sjølv,43339
va,43293
mest,43228
d,43173
ser,42993
<,42733
heile,42670
tvo,42022
inkje,41945
4,41871
te,41825
desse,41740
gjorde,41723
sjaa,41597
nåar,41447
min,41331
stor,41287
endaa,40689
vore,40520
No,40258
burt,40170
koma,39725
kje,39551
De,39132
gaa,38852
over,38613
fær,38522
veit,38507
sitt,38074
baade,37804
kva,37558
5,37043
Ein,36725
9,36695
Der,36627
fyr,36575
gjeng,36551
80,36464
sagde,36460
maatte,35302
på,35248
mann,35204
aar,34919
hava,34852
fo,33834
kor,33726
or,33604
millom,33328
gjort,32901
tid,32716
v.,32371
imot,32077
god,31776
gav,31761
8,31333
langt,31066
fra,30621
all,30526
ja,30233
å,30128
For,29933
[,29926
verta,29687
an,29648
dag,29558
ord,29506
sette,29424
rett,29423
se,29266
tala,29251
Me,29169
sat,29116
Nei,28952
c,28948
laag,28777
taka,28650
fyre,28608
slik,28410
1.,28370
~,28030
£,27807
laut,27721
u,27698
meb,27631
tru,27570
din,27479
snart,27318
hjaa,27123
gong,27032
“,26993
segjer,26847
mi,26742
heldt,26653
lite,26624
segja,26598
anna,26528
’,26291
b,25994
heim,25977
soleis,25964
Jesus,25949
Naar,25901
ogsaa,25568
liksom,25479
nokon,25444
elder,24883
sidan,24801
bar,24735
ifraa,24528
ting,24262
2.,24261
ben,23989
la,23942
gjenom,23898
g,23855
lenger,23823
fyrste,23690
Folk,23639
7,23631
ar,23599
Guds,23521
bei,23502
sit,23392
utan,23360
svara,23324
reint,23273
tek,23212
set,23179
far,23111
ber,22969
Paa,22882
j,22465
ogso,22319
ligg,22309
gode,22273
Her,22272
lenge,22227
sjåa,22019
gjer,21934
stend,21920
mig,21875
visste,21848
nokre,21821
eine,21734
fann,21524
man,21446
stort,21259
kongen,21181
vm,21136
visst,21095
Er,21038
fyrst,21009
sagt,20935
•,20874
heller,20713
saman,20670
N,20611
augo,20591
A,20555
landet,20025
land,19991
mor,19931
30,19871
0,19806
bu,19731
lyt,19715
nu,19472
■,19469
],19460
like,19444
ute,19272
10,19196
kjende,19117
annan,19050
Dette,19040
os,18988
trur,18982
ham,18884
S,18778
Til,18735
hennar,18629
slikt,18624
liv,18622
in,18435
Kva,18354
V,18311
vegen,18305
ti,18286
